AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature

"24719","5","C1, C2, C12, C19, C28","4.7µF","KON 4.7µF 6.3V X5R 20% SMD BF 1005 (0402)","1005 (0402)","4.7u","CAPC1005X60N","01","08-C8A","","SMT","Yes","X5R","20%","","6.3V","","-55/+85",""
"22472","33","C3, C4, C5, C6, C8, C9, C10, C11, C15, C16, C17, C18, C20, C21, C22, C23, C25, C26, C27, C29, C30, C32, C34, C35, C37, C43, C46, C48, C56, C57, C64, C74, C101","100nF","KON 100nF 25V X5R ±10% SMD BF 1005 (0402)","1005 (0402)","100n","CAPC1005X55N","01","08-C8A","","SMT","Yes","X5R","","","25V","","-55/+85",""
"27910","5","C7, C24, C31, C39, C72","2.2µF","KON 2.2uF 25V X5R ±10% SMD BF 1608 (0603)","1608 (0603)","2.2u","CAPC1608X90N","01","08-C8A","","SMT","","X5R","±10%","","25V","","-55/+85",""
"25567","9","C13, C14, C40, C44, C59, C62, C63, C66, C67","10µF","KON 10µF 25V X5R 10% SMD BF 2012 (0805)","2012 (0805)","10u","CAPC2012X135N","01","08-C8A","","SMT","","X5R","10%","","25V","","-55/+85",""
"25341","4","C33, C47, C51, C53","10µF","KON 10µF 16V X5R 20% SMD BF 1608 (0603)","1608 (0603)","10u","CAPC1608X90N","01","08-C8A","","SMT","Yes","X5R","20%","","16V","","-55/+85",""
"24921","2","C36, C38","470nF","KON 470nF 6.3V X5R 20%  SMD BF 0603 (0201)","0603 (0201)","470n","CAPC0603X33N","01","08-C8A","","SMT","Yes","X5R","20%","","6.3V","","-55/+85",""
"26837","3","C41, C42, C68","1µF","KON 1µF 25V X5R ±10% SMD BF 1608 (0603)","1608 (0603)","1u","CAPC1608X90N","01","08-C8A","","SMT","Yes","X5R","10%","","25V","","-55/+85",""
"24855","1","C50","180pF","KON 180pF 50V NP0 SMD BF 1005 (0402)","1005 (0402)","180p","CAPC1005X55N","01","08-C8A","","SMT","","NP0","","","50V","","",""
"22651","1","C52","100nF","KON 100nF 50V X7R ±10% SMD BF 1005 (0402)","1005 (0402)","100n","CAPC1005X55N","01","08-C8A","","SMT","","X7R","10%","","50V","","-55/+125",""
"23123","2","C60, C65","100pF","KON 100pF 50V NP0 5% SMD BF 1005 (0402)","1005 (0402)","100p","CAPC1005X55N","01","08-C8A","","SMT","Yes","NP0","","","50V","","",""
"28262","1","D1","LED Green 19-213/R6C-AL1M2VY/3T","Chip LED 0603 Briliant Green","1608 (0603)","","LEDC1608X55N_GREEN","01","08-C8A","","SMT","","","","","","19-213/G6C-BM1N2/DT","-40/+85 (Abs)",""
"28261","9","D2, D3, D4, D5, D6, D7, D8, D9, D10","LED Red 19-213/R6C-AL1M2VY/3T","Chip LED 0603 Briliant Red","1608 (0603)","","LEDC1608X55N_RED","01","08-C8A","","SMT","","","","","","19-213/R6C-AL1M2VY/3T","",""
"29676","2","D11, D12","PMEG2005EL,315","PMEG2005EL,315","SOD882 / DFN1006-2 ","0.5A","DIODFN98X58X50-2N","01","08-C8A","","SMT","","Schottky","","","20V","PMEG2005EL,315","-65/+150","-65/+150(Abs)"
"29678","2","J5, J6","SMA Coaxial Edge Mount","SMA Coaxial 90° SMT Edge Mount","Edge mount","","SMA-J-P-X-ST-EM1","01","08-C8A","Yes","THT","","","","","","SMA-J-P-H-ST-EM1","-65/+125",""
"27993","1","J9","NRND: Micro USB2.0 B Receptacle 90°","Micro USB2.0 B Receptacle 90° SMD/THT","","","105017-0001","01","08-C8A","","SMT","","","","","","105017-0001","",""
"24681","2","L1, L2","LI0402E300R-10","Ferritdurchführung LI0402E300R-10","1005 (0402)","","INDC1005X55N","01","08-C8A","","SMT","Yes","0.3Ohm","","","500mA","LI0402E300R-10","",""
"29717","3","L3, L11, L12","10µH","IND SMD 10µH 20% 700mA 280mOhms 1008 (2520)","1008 (2520)","10u","INDC2520X120N","01","08-C8A","","SMT","","280mOhm","20%","","700mA","MLP2520S100ST0S1","-40/+125",""
"22718","3","L4, L6, L7","MPZ1608S221A","Ferritdurchführung MPZ1608S221A","1608 (0603)","220 OHm @ 100MHz","INDC1608X95N","01","08-C8A","Yes","SMT","Yes","","","","","MPZ1608S221A","",""
"27037","6","PM1, PM2, PM3, PM4, PM5, PM6","FIDU-DOT - mini","FIDU-DOT - MINI 0.5mm","","","FIDU-DOT - mini","01","08-C8A","","FIDU","","","","","","","",""
"22598","11","R1, R3, R4, R5, R20, R21, R22, R27, R34, R52, R53","12K","WID SMD 12K 1% 0,063W  BF 1005 (0402)","1005 (0402)","12K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","","",""
"25073","15","R2, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R23, R24, R25, R33","2K","WID SMD 2K 1% 0,063W  BF 1005 (0402)","1005 (0402)","2K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0402FR-072KL","",""
"22770","7","R17, R19, R31, R43, R47, R49, R64","33R","WID SMD 33R 1% 0,063W BF 1005 (0402)","1005 (0402)","33","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0402FR-0733RL","",""
"22762","1","R26","330R","WID SMD 330R 1% 0,063W  BF 1005 (0402)","1005 (0402)","330","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0402FR-13330RL","",""
"22558","1","R28","100K","WID SMD 100K 1% 0,063W  BF 1005 (0402)","1005 (0402)","100K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0402FR-13100KL","",""
"25242","2","R29, R63","4K7","WID SMD 4K7 1% 0,05W  BF 0603 (0201)","0603 (0201)","4.7K","RESC0603X26N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0201FR-074K7L","",""
"24875","1","R30","18K","WID SMD 18K 1% 0,063W  BF 1005 (0402)","1005 (0402)","18K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","","",""
"22738","1","R32","0R","WID SMD 0R  BF 1005 (0402)","1005 (0402)","0","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0402JR-070RL","",""
"22750","3","R35, R50, R65","10K","WID SMD 10K 1% 0,063W BF 1005 (0402)","1005 (0402)","10K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","RC0402FR-0710KL","",""
"30130","3","R36, R45, R54","10K5","WID SMD 10K5 1% 0,063W  BF 1005 (0402)","1005 (0402)","10.5K","RESC1005X40N","01","08-C8A","","SMT","","TK100","1%","","0.063W","","",""
"26071","1","R37","21K5","WID SMD 21K5 1% 0,063W BF 1005 (0402)","1005 (0402)","21.5K","RESC1005X40N","01","08-C8A","","SMT","","TK100","1%","","","","",""
